"","CNT","CNTSCHID","CNTSTUID","STRATUM","MeanCrtScore","MeanMthScore","MeanReadScore","MeanSciScore"
"1868","Philippines",60800046,60801967,"PHL - stratum 06: REGION 5",15,357.5264,363.3874,353.6173
"1869","Philippines",60800026,60801968,"PHL - stratum 03: REGION 3",3.23,307.3977,271.7546,319.9154
"1870","Philippines",60800157,60801969,"PHL - stratum 14: NCR",1.08,301.836,233.1111,333.6676
"1871","Philippines",60800010,60801970,"PHL - stratum 07: REGION 6",41.12,438.1553,496.9547,469.1713
"1872","Philippines",60800188,60801971,"PHL - stratum 14: NCR",37.13,501.7202,531.6577,513.1439
"1873","Philippines",60800007,60801972,"PHL - stratum 13: REGION 12",4.32,326.4866,300.0924,307.3782
"1874","Philippines",60800024,60801973,"PHL - stratum 01: REGION 1",17.2,364.2922,357.0596,355.891
"1875","Philippines",60800045,60801974,"PHL - stratum 03: REGION 3",2.53,326.896,306.1201,304.0193
"1876","Philippines",60800019,60801975,"PHL - stratum 16: CARAGA",11.88,388.8419,373.5274,403.43
"1877","Philippines",60800170,60801976,"PHL - stratum 14: NCR",1.51,290.3027,223.5534,303.8659
"1878","Philippines",60800022,60801977,"PHL - stratum 04: REGION 4A",13.05,350.2142,318.9896,326.5064
"1879","Philippines",60800148,60801978,"PHL - stratum 08: REGION 7",1.47,240.849,218.5967,292.4727
"1880","Philippines",60800164,60801979,"PHL - stratum 14: NCR",1.91,293.1198,241.9081,258.0875
"1881","Philippines",60800013,60801980,"PHL - stratum 11: REGION 10",8.97,374.2232,340.8663,336.0653
"1882","Philippines",60800145,60801981,"PHL - stratum 13: REGION 12",5.92,325.249,293.1711,302.4528
"1883","Philippines",60800027,60801982,"PHL - stratum 07: REGION 6",2.36,297.2938,263.8879,329.5011
"1884","Philippines",60800137,60801983,"PHL - stratum 03: REGION 3",11.2,322.1232,296.1899,302.3627
"1885","Philippines",60800097,60801984,"PHL - stratum 15: CAR",7.74,366.0745,326.5983,382.9767
"1886","Philippines",60800014,60801985,"PHL - stratum 04: REGION 4A",28.67,376.8089,430.2028,378.6928
"1887","Philippines",60800041,60801987,"PHL - stratum 14: NCR",22.67,316.1932,355.7823,342.4832
"1888","Philippines",60800096,60801988,"PHL - stratum 05: REGION 4B",18.58,293.4743,267.4105,285.0021
"1889","Philippines",60800149,60801989,"PHL - stratum 04: REGION 4A",20.73,410.5328,385.8661,387.9319
"1890","Philippines",60800004,60801990,"PHL - stratum 16: CARAGA",3.49,268.3414,253.5385,276.8688
"1891","Philippines",60800054,60801991,"PHL - stratum 04: REGION 4A",36.69,452.9039,452.4456,484.7849
"1892","Philippines",60800080,60801992,"PHL - stratum 14: NCR",9.15,339.0635,312.6621,317.1672
"1893","Philippines",60800178,60801993,"PHL - stratum 07: REGION 6",16.41,368.0354,354.2492,323.1545
"1894","Philippines",60800106,60801994,"PHL - stratum 06: REGION 5",3.55,296.8453,282.3405,261.1932
"1895","Philippines",60800061,60801995,"PHL - stratum 01: REGION 1",16.05,383.8424,391.3993,430.3423
"1896","Philippines",60800057,60801996,"PHL - stratum 01: REGION 1",6.49,289.7084,295.5513,330.6198
"1897","Philippines",60800151,60801997,"PHL - stratum 15: CAR",28.7,428.0789,421.5369,454.8717
"1898","Philippines",60800048,60801998,"PHL - stratum 13: REGION 12",1.26,276.9262,238.1495,287.5591
"1899","Philippines",60800007,60801999,"PHL - stratum 13: REGION 12",18.09,449.3955,464.7277,482.4255
"1900","Philippines",60800008,60802000,"PHL - stratum 06: REGION 5",2.8,317.6968,298.8092,247.6131
"1901","Philippines",60800021,60802001,"PHL - stratum 09: REGION 8",2.7,295.458,252.5623,287.2864
"1902","Philippines",60800002,60802002,"PHL - stratum 03: REGION 3",4.3,329.0301,288.8443,273.7505
"1903","Philippines",60800119,60802003,"PHL - stratum 15: CAR",3.99,305.5559,275.4278,309.9992
"1904","Philippines",60800029,60802004,"PHL - stratum 04: REGION 4A",36.77,454.0041,481.4359,511.1405
"1905","Philippines",60800154,60802005,"PHL - stratum 07: REGION 6",0.7,254.6337,230.4712,296.5987
"1906","Philippines",60800023,60802006,"PHL - stratum 04: REGION 4A",23.15,374.6339,375.8317,355.9129
"1907","Philippines",60800072,60802007,"PHL - stratum 10: REGION 9",27.05,449.256,478.6866,468.3244
"1908","Philippines",60800063,60802008,"PHL - stratum 01: REGION 1",12.85,369.3448,333.5302,363.6583
"1909","Philippines",60800167,60802009,"PHL - stratum 11: REGION 10",14.57,338.2601,330.1098,326.1278
"1910","Philippines",60800051,60802010,"PHL - stratum 09: REGION 8",0.78,268.7664,225.4891,240.9492
